cell_id,status,reason,n_arrays,n_sidecars_planned,applied
DLinear_ETTh2_h336_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h336_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTh2_h96_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h336_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm1_h96_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h336_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_fredf_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_none_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_revin_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2021_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2022_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2022_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2023_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ETTm2_h96_san_lite_s2023_shuf,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Exchange_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h24_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h24_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h24_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h24_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h36_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h36_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h36_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h36_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h48_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h48_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h48_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h48_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h60_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h60_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h60_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_ILI_h60_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h192_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h192_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h192_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h192_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h336_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h720_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h720_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h720_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h720_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h96_revin_s2021_det,skipped,4 sidecars already on contract,4,0,0
DLinear_Weather_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh1_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTh2_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm1_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ETTm2_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h336_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h96_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h96_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Exchange_h96_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h24_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h24_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h24_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h48_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h48_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_ILI_h48_san_lite_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Weather_h336_fredf_s2021_det,skipped,4 sidecars already on contract,4,0,0
PatchTST_Weather_h336_none_s2021_det,skipped,4 sidecars already on contract,4,0,0
